N00036633::Abraham, Ralph
N00039682::Accavitti, Frank Jr
N00037014::Achadjian, Katcho
N00035451::Adams, Alma
N00036990::Adams, Boyce
N00037273::Adams, David
N00037274::Adams, Desmund
N00027843::Adams, Eddie
N00032432::Adams, John
N00039496::Adams, Scott
N00036926::Adcock, Sam
N00003028::Aderholt, Robert B
N00039680::Adkins, Alex
N00033165::Agbede, Akinyemi
N00039294::Agra, John
N00033997::Aguilar, Pete
N00037402::Alam, MD
N00039383::Alarcon, Richard
N00038843::Albarran, Charlene
N00039147::Albertson, Ed
N00036917::Albertson, Stewart
N00038776::Allan, Seth
N00032277::Allen, Jason
N00033720::Allen, Richard W
N00039082::Allvord, Terry
N00031938::Amash, Justin
N00031177::Amodei, Mark
N00039258::Anders, Sam
N00038203::Anderson, Dave
N00038571::Anderson, Phil
N00037163::Anderson, Stephanie
N00038605::Andres, Teresita
N00039398::Angelle, Scott
N00027581::Angle, Sharron
N00038806::Ansel, Jeff
N00039301::Anthanasopoulos, George
N00038621::Anthony, Malcolm
N00038599::Appleby, Alex
N00037263::Applegate, Douglas L
N00039709::Arberry, Morse Jr
N00039392::Armedariz, Victor
N00038594::Armstrong-Stoner, Derek James
N00036141::Arness, Mark
N00038285::Arrington, Jodey
N00036932::Ash, James
N00005697::Ashby, Ken
N00005293::Ashford, Brad
N00036354::Ashworth, Matthew
N00038654::Assini, Mark W
N00031491::Atanus, Susanne
N00039426::Atkins, Ken
N00037020::Atkinson, Jacquie
N00030980::Ayotte, Kelly
N00036877::Azumah, Joel
N00033731::Babeu, Paul
N00005736::Babin, Brian
N00039414::Babinec, Martin
N00007089::Baca, Joe
N00039657::Bacallao, Mary Kay
N00037049::Bacon, Donald John
N00039568::Baez, Leonel Mr.
N00036336::Bakari, Kamau
N00038660::Baker, Bruce
N00037618::Baker, Collin
N00039545::Baker, Jeffrey Ronald
N00039699::Baker, Lou
N00037598::Baker, Terry
N00039476::Balcallao, Mary Kay
N00036368::Balchunis, Mary Ellen
N00037452::Baldacci, Joe
N00035112::Ballard, Scott J
N00037303::Bangstad, Kirk
N00037185::Banks, Jim
N00007182::Banuelos, Robert
N00039493::Barajas, Ramon III
N00037608::Bard, Gavin
N00037030::Baricevic, Charles John
N00033200::Barkley, Mike
N00039473::Barksdale, Jim
N00025495::Barletta, Lou
N00039578::Barnes, Rudy Jr
N00038619::Barney, Sean
N00031233::Barr, Andy
N00037019::Barragan, Nanette
N00038828::Barrera, Roy
N00039540::Barrett, Dan
N00037265::Barringer, Adam
N00037454::Bartley, Lori
N00005656::Barton, Joe
N00001883::Barve, Kumar P
N00039092::Barz, Michael
N00038671::Basham, Danny
